{'dim': 70, 'seed': 0, 'exit_dim': 44, 'model': 48}
{'dim': 80, 'seed': 0, 'exit_dim': 49, 'model': 58}
{'dim': 90, 'seed': 0, 'exit_dim': 68, 'model': 63}
{'dim': 100, 'seed': 0, 'exit_dim': 74, 'model': 68}
{'dim': 70, 'seed': 1, 'exit_dim': 43, 'model': 48}
{'dim': 80, 'seed': 1, 'exit_dim': 54, 'model': 58}
{'dim': 90, 'seed': 1, 'exit_dim': 63, 'model': 62}
{'dim': 100, 'seed': 1, 'exit_dim': 74, 'model': 63}
{'dim': 70, 'seed': 2, 'exit_dim': 41, 'model': 48}
{'dim': 80, 'seed': 2, 'exit_dim': 49, 'model': 58}
{'dim': 90, 'seed': 2, 'exit_dim': 63, 'model': 62}
{'dim': 100, 'seed': 2, 'exit_dim': 72, 'model': 66}
{'dim': 70, 'seed': 3, 'exit_dim': 46, 'model': 48}
{'dim': 80, 'seed': 3, 'exit_dim': 56, 'model': 58}
{'dim': 90, 'seed': 3, 'exit_dim': 64, 'model': 61}
{'dim': 100, 'seed': 3, 'exit_dim': 77, 'model': 67}
{'dim': 70, 'seed': 4, 'exit_dim': 48, 'model': 48}
{'dim': 80, 'seed': 4, 'exit_dim': 51, 'model': 58}
{'dim': 90, 'seed': 4, 'exit_dim': 66, 'model': 62}
{'dim': 100, 'seed': 4, 'exit_dim': 74, 'model': 68}
